# abs_vel_axis  fit_absorption_spectrum  abs_noise_env_prime  em_vel_axis  fit_emission_spectrum  em_spectrum_err
-2.390753749900000003e+02 9.859376666666664901e-01 2.341545182180812812e-01 -1.455320313899999860e+02 -7.250301654684647434e-02 5.589313999999999893e+00
-2.386630225199999984e+02 8.602331999999998091e-01 2.333197806536504715e-01 -1.459443838599999879e+02 -9.090124951727395208e-01 6.044250500000000415e+00
-2.382506700399999886e+02 8.758038666666665417e-01 2.328283274843098993e-01 -1.463567363299999897e+02 -1.121190828444952770e+00 7.879480400000000273e+00
-2.378383175699999867e+02 1.043991933333333177e+00 2.344455523253154705e-01 -1.467690888099999995e+02 1.278670896161674120e-01 5.438777400000000206e+00
-2.374259651000000133e+02 1.197170933333333132e+00 2.344419982792294854e-01 -1.471814412800000014e+02 -1.458830323227123527e-01 6.199922599999999839e+00
-2.370136126300000114e+02 1.171303633333333094e+00 2.300923981006580965e-01 -1.475937937500000032e+02 9.720210710513947916e-01 9.966468000000000771e+00
-2.366012601600000096e+02 1.094817633333333262e+00 2.253725881213061721e-01 -1.480061462200000051e+02 -2.490960442411647158e-01 5.466539000000000037e+00
-2.361889076900000077e+02 1.031326413333333081e+00 2.247357510973120309e-01 -1.484184986900000069e+02 7.657872724662757591e-01 4.225196999999999647e+00
-2.357765552200000059e+02 1.029078963333333263e+00 2.314090652346280086e-01 -1.488308511600000088e+02 -6.458623061596172610e-01 8.265079500000000579e+00
-2.353642027500000040e+02 1.020179896666666419e+00 2.298040861452964601e-01 -1.492432036300000107e+02 -1.216890997065163793e+00 9.453564000000000078e+00
-2.349518502800000022e+02 1.042559683333333043e+00 2.370723888822116876e-01 -1.496555561099999920e+02 -1.417200898004043585e+00 7.730644999999999989e+00
